Freq.	V(vout)/V(vin)
3.63078054770102e+001	(-6.02233330266209e+000dB,-2.61494726518052e-002°)
3.80189396320562e+001	(-6.02233295390780e+000dB,-2.73818605213233e-002°)
3.98107170553498e+001	(-6.02233257150631e+000dB,-2.86723292182424e-002°)
4.16869383470336e+001	(-6.02233215221142e+000dB,-3.00236160337655e-002°)
4.36515832240167e+001	(-6.02233169246369e+000dB,-3.14385872675463e-002°)
4.57088189614876e+001	(-6.02233118836033e+000dB,-3.29202443082014e-002°)
4.78630092322639e+001	(-6.02233063562196e+000dB,-3.44717300005757e-002°)
5.01187233627273e+001	(-6.02233002955638e+000dB,-3.60963353130596e-002°)
5.24807460249774e+001	(-6.02232936501866e+000dB,-3.77975063193493e-002°)
5.49540873857626e+001	(-6.02232863636752e+000dB,-3.95788515093201e-002°)
5.75439937337158e+001	(-6.02232783741739e+000dB,-4.14441494446105e-002°)
6.02559586074359e+001	(-6.02232696138597e+000dB,-4.33973567751670e-002°)
6.30957344480195e+001	(-6.02232600083657e+000dB,-4.54426166338092e-002°)
6.60693448007598e+001	(-6.02232494761504e+000dB,-4.75842674266115e-002°)
6.91830970918938e+001	(-6.02232379278053e+000dB,-4.98268520378496e-002°)
7.24435960074992e+001	(-6.02232252652960e+000dB,-5.21751274690503e-002°)
7.58577575029186e+001	(-6.02232113811297e+000dB,-5.46340749326411e-002°)
7.94328234724284e+001	(-6.02231961574429e+000dB,-5.72089104217020e-002°)
8.31763771102674e+001	(-6.02231794650010e+000dB,-5.99050957782829e-002°)
8.70963589956084e+001	(-6.02231611621008e+000dB,-6.27283502838973e-002°)
9.12010839355913e+001	(-6.02231410933678e+000dB,-6.56846627968118e-002°)
9.54992586021439e+001	(-6.02231190884373e+000dB,-6.87803044620576e-002°)
1.00000000000000e+002	(-6.02230949605081e+000dB,-7.20218420211885e-002°)
1.04712854805090e+002	(-6.02230685047564e+000dB,-7.54161517502243e-002°)
1.09647819614319e+002	(-6.02230394965975e+000dB,-7.89704340554871e-002°)
1.14815362149689e+002	(-6.02230076897788e+000dB,-8.26922287584768e-002°)
1.20226443461742e+002	(-6.02229728142898e+000dB,-8.65894311024627e-002°)
1.25892541179417e+002	(-6.02229345740695e+000dB,-9.06703085149948e-002°)
1.31825673855641e+002	(-6.02228926444933e+000dB,-9.49435181621607e-002°)
1.38038426460289e+002	(-6.02228466696170e+000dB,-9.94181253322129e-002°)
1.44543977074593e+002	(-6.02227962591554e+000dB,-1.04103622687920e-001°)
1.51356124843621e+002	(-6.02227409851687e+000dB,-1.09009950428948e-001°)
1.58489319246112e+002	(-6.02226803784298e+000dB,-1.14147517407547e-001°)
1.65958690743757e+002	(-6.02226139244408e+000dB,-1.19527223242933e-001°)
1.73780082874938e+002	(-6.02225410590653e+000dB,-1.25160481481968e-001°)
1.81970085860999e+002	(-6.02224611637391e+000dB,-1.31059243856035e-001°)
1.90546071796326e+002	(-6.02223735602191e+000dB,-1.37236025686473e-001°)
1.99526231496889e+002	(-6.02222775048252e+000dB,-1.43703932493483e-001°)
2.08929613085405e+002	(-6.02221721821267e+000dB,-1.50476687866172e-001°)
2.18776162394956e+002	(-6.02220566980202e+000dB,-1.57568662654164e-001°)
2.29086765276778e+002	(-6.02219300721383e+000dB,-1.64994905544312e-001°)
