Freq.	V(vout)/V(pwm)
4.36515832240167e+001	(1.99982682208159e+001dB,-3.14385872675463e-002°)
4.57088189614876e+001	(1.99982687249193e+001dB,-3.29202443082014e-002°)
4.78630092322639e+001	(1.99982692776577e+001dB,-3.44717300005757e-002°)
5.01187233627273e+001	(1.99982698837232e+001dB,-3.60963353130595e-002°)
5.24807460249774e+001	(1.99982705482610e+001dB,-3.77975063193493e-002°)
5.49540873857626e+001	(1.99982712769121e+001dB,-3.95788515093201e-002°)
5.75439937337158e+001	(1.99982720758622e+001dB,-4.14441494446105e-002°)
6.02559586074359e+001	(1.99982729518937e+001dB,-4.33973567751670e-002°)
6.30957344480195e+001	(1.99982739124431e+001dB,-4.54426166338092e-002°)
6.60693448007598e+001	(1.99982749656646e+001dB,-4.75842674266115e-002°)
6.91830970918938e+001	(1.99982761204991e+001dB,-4.98268520378496e-002°)
7.24435960074992e+001	(1.99982773867500e+001dB,-5.21751274690504e-002°)
7.58577575029186e+001	(1.99982787751667e+001dB,-5.46340749326411e-002°)
7.94328234724284e+001	(1.99982802975353e+001dB,-5.72089104217020e-002°)
8.31763771102674e+001	(1.99982819667795e+001dB,-5.99050957782829e-002°)
8.70963589956084e+001	(1.99982837970696e+001dB,-6.27283502838973e-002°)
9.12010839355913e+001	(1.99982858039428e+001dB,-6.56846627968118e-002°)
9.54992586021439e+001	(1.99982880044359e+001dB,-6.87803044620576e-002°)
1.00000000000000e+002	(1.99982904172288e+001dB,-7.20218420211885e-002°)
1.04712854805090e+002	(1.99982930628040e+001dB,-7.54161517502243e-002°)
1.09647819614319e+002	(1.99982959636199e+001dB,-7.89704340554871e-002°)
1.14815362149689e+002	(1.99982991443017e+001dB,-8.26922287584768e-002°)
1.20226443461742e+002	(1.99983026318506e+001dB,-8.65894311024627e-002°)
1.25892541179417e+002	(1.99983064558727e+001dB,-9.06703085149948e-002°)
1.31825673855641e+002	(1.99983106488303e+001dB,-9.49435181621607e-002°)
1.38038426460289e+002	(1.99983152463179e+001dB,-9.94181253322129e-002°)
1.44543977074593e+002	(1.99983202873641e+001dB,-1.04103622687920e-001°)
1.51356124843621e+002	(1.99983258147628e+001dB,-1.09009950428948e-001°)
1.58489319246112e+002	(1.99983318754366e+001dB,-1.14147517407547e-001°)
1.65958690743757e+002	(1.99983385208355e+001dB,-1.19527223242933e-001°)
1.73780082874938e+002	(1.99983458073731e+001dB,-1.25160481481968e-001°)
1.81970085860999e+002	(1.99983537969057e+001dB,-1.31059243856035e-001°)
1.90546071796326e+002	(1.99983625572577e+001dB,-1.37236025686473e-001°)
1.99526231496889e+002	(1.99983721627971e+001dB,-1.43703932493483e-001°)
2.08929613085405e+002	(1.99983826950670e+001dB,-1.50476687866172e-001°)
2.18776162394956e+002	(1.99983942434776e+001dB,-1.57568662654164e-001°)
2.29086765276778e+002	(1.99984069060658e+001dB,-1.64994905544312e-001°)
2.39883291901950e+002	(1.99984207903269e+001dB,-1.72771175089154e-001°)
2.51188643150959e+002	(1.99984360141277e+001dB,-1.80913973257100e-001°)
