time	V(vout)	V(n003)
1.296111064984687e-005	5.108244e+000	5.000000e+000
1.315642314984687e-005	5.190430e+000	5.000000e+000
1.344939189984687e-005	5.341228e+000	5.000000e+000
1.374236064984686e-005	5.522236e+000	5.000000e+000
1.403532939984686e-005	5.730226e+000	5.000000e+000
1.432829814984686e-005	5.961928e+000	5.000000e+000
1.462126689984686e-005	6.214065e+000	5.000000e+000
1.500100241627096e-005	6.565599e+000	4.987919e+000
1.500177315348629e-005	6.566338e+000	1.134233e+000
1.500178507317174e-005	6.566350e+000	1.074634e+000
1.500180891254264e-005	6.566372e+000	9.554373e-001
1.500185659128444e-005	6.566418e+000	7.170436e-001
1.500190464251641e-005	6.566464e+000	4.767874e-001
1.500200000000000e-005	6.566556e+000	0.000000e+000
1.514987577362502e-005	6.697436e+000	0.000000e+000
1.529775154725004e-005	6.810993e+000	0.000000e+000
1.544562732087506e-005	6.907227e+000	0.000000e+000
1.559350309450008e-005	6.986138e+000	0.000000e+000
1.574137886812510e-005	7.047726e+000	0.000000e+000
1.588925464175012e-005	7.091991e+000	0.000000e+000
1.603713041537514e-005	7.118933e+000	0.000000e+000
1.613478666537514e-005	7.128244e+000	0.000000e+000
1.623244291537514e-005	7.130633e+000	0.000000e+000
1.633009916537514e-005	7.126230e+000	0.000000e+000
1.642775541537513e-005	7.115171e+000	0.000000e+000
1.652541166537513e-005	7.097597e+000	0.000000e+000
1.662306791537513e-005	7.073648e+000	0.000000e+000
1.681838041537513e-005	7.007217e+000	0.000000e+000
1.701369291537513e-005	6.917083e+000	0.000000e+000
1.720900541537513e-005	6.804490e+000	0.000000e+000
1.750197416537513e-005	6.596305e+000	0.000000e+000
1.779494291537513e-005	6.344931e+000	0.000000e+000
1.799025541537513e-005	6.155599e+000	0.000000e+000
1.808791166537512e-005	6.054919e+000	0.000000e+000
1.818556791537512e-005	5.950460e+000	0.000000e+000
1.828322416537512e-005	5.842826e+000	0.000000e+000
1.833104098948387e-005	5.788992e+000	0.000000e+000
1.833492064209329e-005	5.784575e+000	0.000000e+000
1.833880029470271e-005	5.780150e+000	0.000000e+000
1.834267994731212e-005	5.775717e+000	0.000000e+000
1.834655959992154e-005	5.771275e+000	0.000000e+000
1.835043925253096e-005	5.766826e+000	0.000000e+000
1.835431890514038e-005	5.762368e+000	0.000000e+000
1.835819855774979e-005	5.757902e+000	0.000000e+000
1.835819978238030e-005	5.757900e+000	0.000000e+000
1.835820036704300e-005	5.757900e+000	0.000000e+000
1.835820075335320e-005	5.757899e+000	0.000000e+000
1.835820118352955e-005	5.757899e+000	0.000000e+000
1.835820155219396e-005	5.757898e+000	0.000000e+000
1.835820195569247e-005	5.757898e+000	0.000000e+000
1.835820232950633e-005	5.757897e+000	0.000000e+000
1.835820273122969e-005	5.757897e+000	0.000000e+000
1.835820310911150e-005	5.757896e+000	0.000000e+000
1.835820350430026e-005	5.757896e+000	0.000000e+000
1.835820426901272e-005	5.757895e+000	0.000000e+000
1.835820537418460e-005	5.757894e+000	0.000000e+000
1.835820697405467e-005	5.757892e+000	0.000000e+000
1.835820857392473e-005	5.757890e+000	0.000000e+000
