time	V(vout)	V(n003)	I(L1)
1.057111578122599e-005	6.768231e+000	-1.029093e-012	1.382299e+000
1.058839472653249e-005	6.768443e+000	-9.820498e-013	1.370583e+000
1.060567367183899e-005	6.768416e+000	-6.390186e-013	1.358866e+000
1.062295261714548e-005	6.768148e+000	0.000000e+000	1.347149e+000
1.072295261714548e-005	6.763492e+000	0.000000e+000	1.279366e+000
1.082295261714549e-005	6.753249e+000	0.000000e+000	1.211650e+000
1.084824510041042e-005	6.749970e+000	0.000000e+000	1.194528e+000
1.087353758367535e-005	6.746191e+000	0.000000e+000	1.177420e+000
1.089883006694028e-005	6.741914e+000	0.000000e+000	1.160327e+000
1.092412255020521e-005	6.737138e+000	0.000000e+000	1.143249e+000
1.094941503347014e-005	6.731862e+000	0.000000e+000	1.126185e+000
1.097470751673507e-005	6.726088e+000	0.000000e+000	1.109135e+000
1.100000000000000e-005	6.719814e+000	0.000000e+000	1.092100e+000
1.100012499999995e-005	6.719783e+000	6.250000e-001	1.092016e+000
1.100017499999993e-005	6.719770e+000	8.750000e-001	1.091991e+000
1.100027499999989e-005	6.719745e+000	1.375000e+000	1.091967e+000
1.100027812499989e-005	6.719744e+000	1.390625e+000	1.091967e+000
1.100100000000000e-005	6.719563e+000	5.000000e+000	1.092204e+000
1.107242857142857e-005	6.702811e+000	5.000000e+000	1.115741e+000
1.114385714285714e-005	6.687847e+000	5.000000e+000	1.139353e+000
1.121528571428572e-005	6.674672e+000	5.000000e+000	1.163038e+000
1.128671428571429e-005	6.663286e+000	5.000000e+000	1.186799e+000
1.135814285714286e-005	6.653687e+000	5.000000e+000	1.210633e+000
1.142957142857143e-005	6.645877e+000	5.000000e+000	1.234542e+000
1.150100000000000e-005	6.639855e+000	5.000000e+000	1.258525e+000
1.150175000000010e-005	6.639803e+000	1.250000e+000	1.258777e+000
1.150177500000009e-005	6.639802e+000	1.125000e+000	1.258781e+000
1.150182500000007e-005	6.639798e+000	8.750000e-001	1.258776e+000
1.150182656250007e-005	6.639798e+000	8.671875e-001	1.258775e+000
1.150200000000000e-005	6.639786e+000	1.742606e-012	1.258660e+000
1.157314285714286e-005	6.632706e+000	9.889355e-013	1.211295e+000
1.164428571428571e-005	6.622637e+000	4.035072e-013	1.164047e+000
1.171542857142857e-005	6.609579e+000	-1.367882e-014	1.116917e+000
1.178657142857143e-005	6.593532e+000	-2.626225e-013	1.069904e+000
1.185771428571429e-005	6.574496e+000	-3.433240e-013	1.023008e+000
1.192885714285714e-005	6.552471e+000	-2.557831e-013	9.762300e-001
1.200000000000000e-005	6.527458e+000	0.000000e+000	9.295689e-001
1.200012499999995e-005	6.527411e+000	6.250000e-001	9.294872e-001
1.200017499999993e-005	6.527392e+000	8.750000e-001	9.294630e-001
1.200027499999989e-005	6.527355e+000	1.375000e+000	9.294409e-001
1.200027812499989e-005	6.527353e+000	1.390625e+000	9.294413e-001
1.200100000000000e-005	6.527082e+000	5.000000e+000	9.296919e-001
1.207242857142857e-005	6.501606e+000	5.000000e+000	9.546482e-001
1.214385714285714e-005	6.478140e+000	5.000000e+000	9.797338e-001
1.221528571428572e-005	6.456682e+000	5.000000e+000	1.004949e+000
1.228671428571429e-005	6.437232e+000	5.000000e+000	1.030293e+000
1.235814285714286e-005	6.419792e+000	5.000000e+000	1.055767e+000
1.242957142857143e-005	6.404360e+000	5.000000e+000	1.081370e+000
1.250100000000000e-005	6.390937e+000	5.000000e+000	1.107103e+000
1.250175000000010e-005	6.390809e+000	1.250000e+000	1.107373e+000
1.250177500000009e-005	6.390805e+000	1.125000e+000	1.107378e+000
1.250182500000007e-005	6.390796e+000	8.750000e-001	1.107374e+000
1.250182656250007e-005	6.390796e+000	8.671875e-001	1.107373e+000
1.250200000000000e-005	6.390767e+000	1.742606e-012	1.107262e+000
1.257314285714286e-005	6.376598e+000	-2.487148e-012	1.061707e+000
1.264428571428571e-005	6.359662e+000	-4.986616e-012	1.016312e+000
1.271542857142857e-005	6.339958e+000	-5.755798e-012	9.710784e-001
1.278657142857143e-005	6.317487e+000	-4.794695e-012	9.260055e-001
1.285771428571429e-005	6.292248e+000	-2.103306e-012	8.810936e-001
1.292885714285715e-005	6.264241e+000	2.318369e-012	8.363425e-001
1.300000000000000e-005	6.233467e+000	8.470329e-012	7.917523e-001
1.300012500000000e-005	6.233409e+000	6.250000e-001	7.916743e-001
1.300017500000000e-005	6.233387e+000	8.750000e-001	7.916515e-001
1.300027500000000e-005	6.233341e+000	1.375000e+000	7.916365e-001
1.300030000000000e-005	6.233330e+000	1.500000e+000	7.916411e-001
1.300100000000000e-005	6.233012e+000	5.000000e+000	7.919047e-001
1.307242857142857e-005	6.202040e+000	5.000000e+000	8.189916e-001
1.314385714285714e-005	6.173297e+000	5.000000e+000	8.462406e-001
1.321528571428571e-005	6.146781e+000	5.000000e+000	8.736518e-001
1.328671428571429e-005	6.122493e+000	5.000000e+000	9.012252e-001
1.335814285714286e-005	6.100433e+000	5.000000e+000	9.289608e-001
1.342957142857143e-005	6.080601e+000	5.000000e+000	9.568585e-001
1.350100000000000e-005	6.062996e+000	5.000000e+000	9.849184e-001
1.350175000000000e-005	6.062826e+000	1.250000e+000	9.852136e-001
1.350177500000000e-005	6.062820e+000	1.125000e+000	9.852191e-001
1.350182500000000e-005	6.062809e+000	8.750000e-001	9.852167e-001
1.350182656250000e-005	6.062809e+000	8.671875e-001	9.852161e-001
1.350200000000000e-005	6.062769e+000	1.742606e-012	9.851108e-001
1.357314285714286e-005	6.044718e+000	9.889355e-013	9.419121e-001
1.364428571428571e-005	6.024109e+000	4.035072e-013	8.988962e-001
1.371542857142857e-005	6.000943e+000	-1.367882e-014	8.560629e-001
1.378657142857143e-005	5.975219e+000	-2.626225e-013	8.134123e-001
1.385771428571429e-005	5.946938e+000	-3.433240e-013	7.709444e-001
1.392885714285714e-005	5.916099e+000	-2.557831e-013	7.286592e-001
1.400000000000000e-005	5.882703e+000	0.000000e+000	6.865568e-001
1.400012499999995e-005	5.882642e+000	6.250000e-001	6.864831e-001
1.400017499999993e-005	5.882617e+000	8.750000e-001	6.864622e-001
1.400027499999989e-005	5.882568e+000	1.375000e+000	6.864465e-001
1.400027812499989e-005	5.882567e+000	1.390625e+000	6.864470e-001
1.400100000000000e-005	5.882213e+000	5.000000e+000	6.867442e-001
1.407242857142857e-005	5.848875e+000	5.000000e+000	7.163524e-001
1.414385714285714e-005	5.817965e+000	5.000000e+000	7.461345e-001
1.421528571428571e-005	5.789484e+000	5.000000e+000	7.760905e-001
1.428671428571429e-005	5.763432e+000	5.000000e+000	8.062204e-001
1.435814285714286e-005	5.739808e+000	5.000000e+000	8.365242e-001
1.442957142857143e-005	5.718613e+000	5.000000e+000	8.670020e-001
